1500 5000
791755 233 5
584475 1254 6
859889 1434 5
373125 895 6
712221 184 1
241591 190 2
102372 1195 4
115829 1263 1
465733 1014 4
447785 1164 2
324839 1093 2
761863 537 2
197572 998 3
402947 711 2
119068 1435 3
411011 578 4
318150 1362 5
407891 648 1
239949 658 6
723118 461 3
519145 890 5
670357 1295 1
324409 24 1
645500 1386 3
315494 1395 6
375515 890 1
695222 822 4
321498 1425 4
702776 753 2
593932 283 4
351571 1376 5
784195 25 1
332397 656 5
447785 1244 2
760785 1368 6
278739 1242 3
845141 54 1
479591 100 4
597818 37 6
622806 418 1
630268 1328 3
813693 1016 4
241907 1175 2
954821 23 1
98484 347 5
305980 634 2
954328 546 5
949886 1206 3
169470 963 1
964503 571 4
29182 207 3
837082 902 3
705415 635 2
968511 1386 5
615745 114 1
120193 1180 2
245600 1362 3
865076 828 3
38849 1410 5
746014 1348 3
664490 651 4
425558 565 3
588840 521 1
171472 207 2
950472 1024 4
120574 405 6
841254 295 1
437477 571 5
961263 221 6
434782 893 3
683104 517 5
416751 1063 1
346684 739 3
665072 919 3
643127 291 1
236355 184 5
134769 1281 4
616608 1406 5
34624 819 4
478062 1048 5
811465 793 6
413713 773 3
628103 55 5
876266 697 3
507329 1173 5
389626 1265 4
709046 531 1
482275 226 3
156422 819 3
882879 1095 6
490815 165 4
362066 113 4
690985 782 6
359535 1009 6
292759 299 2
686221 382 3
845115 927 5
416973 522 5
952575 1302 3
611717 932 6
309421 1355 1
179639 721 6
210550 1029 3
213904 339 4
987716 418 1
876266 268 3
705185 1349 4
325961 926 1
898062 1428 2
684911 693 4
510688 1165 5
243644 569 4
46664 1430 1
161404 588 1
516610 1384 3
36627 1421 1
612989 554 6
286305 787 4
601188 81 2
953887 1344 4
68432 1380 6
193573 1086 1
387731 1304 1
884415 115 5
948091 255 4
760983 843 1
988850 1376 1
373028 146 3
858777 1397 1
330080 88 6
270520 1316 3
237583 669 3
958763 1119 6
454474 541 4
935990 449 4
737502 1291 2
261934 726 6
806306 581 3
811310 311 2
81479 1138 2
175648 935 1
857623 245 6
686822 769 4
514108 319 5
276049 1344 2
359656 1008 6
591162 1114 6
347580 882 5
757132 1037 1
500891 747 2
436615 1169 5
83436 1208 2
76271 1371 1
353670 1431 2
184750 543 1
614860 1067 5
385657 920 2
654177 599 5
457704 939 4
811631 937 1
186188 818 5
786446 1367 1
934172 1174 5
596287 1260 5
37835 1437 1
256784 245 1
514009 1315 5
242134 729 2
814971 1410 1
895188 1032 4
23967 962 6
989991 1403 2
64732 295 1
416294 1289 6
397742 1210 4
962371 1168 4
487992 704 6
146562 244 5
754799 1082 5
789600 1419 6
62122 1169 6
188351 534 6
963799 871 3
321498 1327 4
241312 1008 4
429155 297 5
859889 1344 5
596287 1112 5
351546 1421 2
451696 814 3
985066 774 1
42776 1402 5
65188 203 6
20292 1108 1
902146 331 2
113654 501 4
225322 1133 1
606700 358 3
852408 1239 4
39972 70 2
971591 834 1
577373 1018 4
554508 1416 4
351828 1337 3
162499 1167 4
530454 1177 3
207696 331 6
425245 1056 6
965672 1017 3
815887 1375 1
933658 881 4
100288 1368 5
366291 375 3
929941 1428 2
225322 1188 1
403353 453 6
34202 1 5
702864 1350 2
488983 1282 4
788206 1243 3
308115 1244 5
726143 751 2
37681 1079 6
24103 1151 2
916748 711 5
13012 297 1
83436 1425 2
205103 1108 2
632272 959 5
198252 1400 1
97541 747 3
124969 1312 3
160603 1199 4
260870 855 4
507160 1083 4
875327 450 3
174940 1112 1
472483 580 6
812893 681 3
553775 120 4
37083 1020 4
17824 483 4
375434 1338 6
584512 1339 2
737655 922 1
455813 491 6
169869 1275 6
722547 772 3
519695 693 3
713843 1370 6
167150 1393 1
882118 1081 5
961263 1221 6
920585 227 6
39291 1186 1
807441 1369 6
50294 1170 2
968741 1350 5
398844 641 4
267971 1074 6
320581 1298 1
605919 594 1
903239 1323 2
292759 646 2
2441 1413 6
332483 588 2
646728 328 3
218534 1043 4
522303 1299 6
720330 1361 3
940692 1311 2
183598 1108 5
143157 150 6
363466 636 6
26059 765 6
538711 714 4
292452 811 4
500418 951 1
870884 997 2
888885 921 1
250552 1153 3
452733 269 3
950500 1367 5
862678 1219 4
349035 368 4
371980 1154 5
766561 27 6
383394 258 4
159744 1088 4
63120 1025 4
647365 841 4
785841 140 2
909715 1192 6
94429 1109 6
65445 1359 4
692830 952 6
61763 1396 5
954821 1044 1
737982 1053 1
712331 1246 5
478546 115 3
963505 383 3
802330 1175 3
666740 242 4
917170 1324 4
477249 1425 2
569714 1323 4
702864 1283 2
996298 982 1
998528 683 3
481604 1229 5
221461 99 6
338021 1226 4
276541 33 6
548071 1305 5
442778 935 3
733670 992 1
96307 1416 2
382247 682 6
48379 739 1
339006 592 4
588472 1208 2
936753 987 4
411142 1277 4
284095 1364 4
944097 1136 6
467321 225 2
314959 1140 4
236355 1046 5
394454 841 6
890537 1115 3
82098 628 6
13197 738 6
615405 1067 2
556176 962 3
118265 22 1
279252 813 4
891780 1203 3
340669 534 4
427045 168 5
564942 723 1
441144 959 1
464256 1404 6
567880 1066 3
241591 599 2
609109 409 6
620030 1260 1
954347 268 1
587980 711 1
399987 1275 1
64641 1386 5
751229 382 1
801845 962 4
257518 1383 5
718331 222 3
118264 1439 4
288265 1200 5
793745 136 4
395044 1084 1
284893 983 5
823824 1073 2
657873 745 6
102372 86 4
540693 4 3
369702 448 4
79406 446 4
280302 491 3
149753 904 3
649801 622 2
269836 1392 3
321835 1189 5
193195 942 1
762787 712 6
61382 1424 1
816770 668 4
437145 85 3
176768 118 5
358092 1256 3
736547 1391 3
182285 1429 6
927990 1121 2
23482 1014 4
741413 1375 5
783044 1244 2
754190 1430 2
365819 359 3
473614 1418 5
914985 697 5
317028 557 1
182319 1295 5
55829 1185 5
24854 1280 2
595538 1123 1
414382 894 4
263723 302 2
65141 1072 1
491755 596 1
13406 1177 3
419686 1115 6
759225 250 3
75618 1078 3
675933 867 5
152252 1277 6
483060 834 6
183938 848 3
849465 783 5
679508 608 4
350811 783 6
885892 668 6
939049 1126 1
447432 1277 2
474127 1309 3
40946 1385 4
815757 976 5
89245 1324 2
678567 1314 4
65061 982 2
319364 146 2
958538 1242 6
896787 108 5
251189 49 6
662154 713 1
113654 863 4
159128 1379 6
831458 229 1
386374 1354 4
325961 595 1
301119 1264 3
773249 901 5
250552 878 3
447515 1285 1
652269 663 5
655301 1429 1
659341 31 1
665072 1016 3
932463 706 2
713141 198 6
515306 802 2
576926 1048 2
635571 717 1
283088 1349 4
859558 897 2
493833 1127 1
973531 1101 1
287728 900 3
904096 698 4
668181 383 3
256488 1205 5
541748 718 3
195710 783 1
220791 1050 3
135130 1254 6
6535 1298 2
82721 1370 3
985066 1316 1
657160 322 5
183492 342 4
50693 869 4
865895 1237 2
79984 876 2
903009 1073 6
463497 527 2
340901 1365 5
750825 946 1
340669 422 4
562404 1199 3
195350 1309 3
736052 714 5
724650 1396 6
553861 510 5
314799 900 4
340957 1439 6
105480 1033 5
973176 1373 1
835716 905 5
125276 1033 6
683335 1419 3
207234 1262 2
538297 1050 3
535576 350 6
969849 769 3
950472 1340 4
11246 974 5
907044 1177 1
142352 872 3
633469 1048 3
59892 1248 4
552712 1204 6
905473 312 1
775143 910 4
664925 1270 6
207156 101 5
44687 1409 1
35039 287 6
156422 565 3
304216 1014 6
65907 1337 1
385808 1292 6
581015 1346 1
638200 1433 4
641817 725 2
799330 700 3
750825 1094 1
288820 494 3
623491 1304 5
833795 1051 1
81633 1217 6
55842 1286 2
487411 1280 6
378795 1358 4
553898 810 6
678567 573 4
836031 35 5
987984 800 4
185053 264 2
565712 1159 1
975931 749 3
821840 1193 3
859558 622 2
886332 470 2
839102 1426 6
614860 1316 5
54961 1208 4
816537 866 5
417946 1411 5
524155 2 5
247320 1164 4
875480 1415 1
364332 1377 3
501255 892 5
757151 292 3
523489 1381 1
773354 1250 4
657434 883 5
555294 424 5
203152 1348 6
667902 432 3
195633 823 2
314393 876 2
532139 575 5
786226 1292 6
169198 1058 3
381408 392 6
621235 1074 6
391536 1167 1
420285 1302 6
498076 1033 5
411011 217 4
963536 855 1
347050 926 4
765745 1160 6
853061 1024 2
797851 1162 2
219394 1104 4
463138 902 5
900364 964 4
199031 937 1
165670 1259 2
88053 88 6
200966 466 6
124512 704 5
667697 1409 6
158352 102 5
463383 1329 6
689206 556 5
438056 1299 3
424903 546 5
746014 1196 3
452733 1138 3
875327 530 3
145749 157 2
649302 1156 4
806494 1393 2
670943 1314 6
449609 1105 4
731261 1175 3
405660 35 4
702850 1079 4
281983 859 3
737206 1298 4
723545 1248 3
800300 37 6
736459 408 1
430426 273 4
551026 858 6
945885 644 4
123673 78 3
46950 1132 6
626518 771 1
546030 31 4
389415 1163 2
284027 1280 5
899321 1194 2
824902 299 5
953341 749 4
46657 628 1
256107 1021 3
985708 1432 2
925277 196 2
607850 483 3
163300 1265 6
597520 395 1
984478 1133 5
216485 1379 5
85810 1079 6
420982 963 3
876876 666 6
909457 787 5
461018 818 3
327636 1418 2
563593 858 5
12875 1115 5
503298 1001 6
669670 6 6
895367 1385 3
88039 173 1
810824 391 1
205163 1312 6
408387 581 1
394726 538 2
726549 1371 6
670899 789 3
984884 7 6
715885 910 2
273934 1250 5
447387 474 4
261272 1316 2
738362 1333 1
958538 881 6
227757 1038 3
69197 1376 6
650794 668 2
716354 1433 5
836845 1240 3
567227 1117 2
395044 1144 1
126426 721 5
767289 831 5
429155 113 5
381375 641 3
675114 529 6
664490 1065 4
196189 1358 3
547360 633 5
509976 1054 4
495087 1129 5
278265 1183 4
139504 59 4
399455 939 2
34254 1393 1
199190 1105 4
519772 703 6
953627 172 4
97765 1366 3
43772 309 6
454518 1233 1
608869 1195 6
399154 790 4
411696 1433 3
696071 89 6
22351 547 3
769681 1420 2
282936 296 6
437145 691 3
186527 1223 3
43516 1043 4
883768 1178 1
737175 1400 6
904096 1013 4
767859 709 4
633833 409 1
650137 1307 2
417422 890 6
896787 164 5
593150 1043 1
909167 434 5
589942 1342 2
739929 150 6
263800 406 6
409032 921 2
430145 1296 1
383644 770 1
447493 1068 1
229165 1353 4
496381 995 5
920290 1323 6
243907 1360 5
865076 906 3
967374 1339 2
235081 792 3
840378 193 2
357395 650 6
415097 1097 4
799493 870 5
528277 1219 6
465054 925 3
945263 1291 2
375442 1356 3
805913 1188 3
932509 1329 1
439557 472 4
78090 1145 5
409452 1090 1
403810 261 6
884321 1340 4
841267 800 2
772755 1086 1
800357 493 5
66374 405 3
771389 664 6
314773 953 6
190154 814 1
811465 1097 6
632272 1276 5
810200 1283 3
610342 742 1
183598 714 5
324409 1066 1
37414 322 2
863867 1031 6
230675 1326 3
568799 808 2
9368 1209 2
347580 1401 5
334373 1233 4
607234 1106 1
532139 1240 5
130692 496 6
924316 1090 3
236939 1114 4
140246 281 2
944906 1000 6
197687 1384 6
834726 881 1
455405 836 1
916422 1199 6
754190 1333 2
123492 1274 4
910085 846 6
460143 442 4
519586 380 4
856111 806 3
907261 1201 5
309233 1201 5
181137 513 3
40187 1146 1
286260 783 1
760505 911 6
581645 1137 5
896144 1326 4
588472 1111 2
989991 1372 2
64732 489 1
268059 1382 5
114343 430 2
660016 1405 2
700404 393 1
927990 804 2
556911 163 4
275925 81 6
380941 715 1
272618 1339 2
962530 1380 3
767115 908 3
108754 776 5
484993 1429 2
508816 667 5
672046 451 3
200338 1068 2
921476 1147 1
83539 1406 3
582208 95 6
399897 979 5
116812 1260 1
49324 570 3
50538 589 6
437829 1308 1
506934 118 5
318647 618 3
66374 1002 3
609113 965 6
438776 152 2
258429 918 6
719760 989 6
737655 436 1
865416 1187 3
962939 1209 5
775581 1422 1
562404 1278 3
274759 1240 1
969172 1305 5
242980 267 5
952671 1368 5
800549 1326 6
557583 1268 3
628653 1172 6
693475 822 1
674599 1404 2
872273 83 6
21348 200 1
410972 1117 6
195710 626 1
329333 860 4
948091 179 4
943697 1104 3
958686 180 5
837007 801 5
668872 1079 5
591162 1252 6
997043 444 2
546503 1111 3
982039 740 3
236939 1169 4
846945 1174 2
242134 531 2
144282 1369 2
479052 1188 2
675937 135 5
757739 134 4
383076 893 2
720385 1219 5
65007 1124 4
628653 1304 6
52294 1362 2
724027 335 2
188850 1141 2
819804 957 3
503298 1139 6
620837 1129 2
742269 63 6
540930 594 5
381868 911 3
901296 224 2
223151 420 2
396057 1394 5
800972 1256 5
331525 1416 2
423683 1091 3
184240 1085 5
236644 1167 1
215290 1101 4
141141 123 2
429292 1014 1
476044 219 1
818131 1312 6
984775 1356 5
829632 827 6
897151 1255 5
552903 1333 6
45700 559 1
810449 376 4
339463 943 1
294461 378 2
966846 719 3
497588 1247 2
439920 548 1
486367 990 5
396672 1371 5
991281 1215 2
620837 834 2
447864 913 3
609361 1384 3
793035 713 2
634373 767 3
159128 968 6
709046 1427 1
109619 815 1
898507 630 3
872838 669 4
978228 1024 4
805753 1331 1
434609 1176 1
255510 1401 2
836031 132 5
621473 1134 1
978566 1101 2
695419 1046 5
84277 529 1
273275 1286 3
928276 948 5
520915 1349 1
476264 1199 4
73984 206 4
673302 1052 6
515012 1327 6
547485 1146 2
758420 1265 5
459799 943 2
716236 1319 1
130064 1330 4
764892 1392 1
265734 1274 4
842088 1022 1
992666 1010 1
842088 186 1
725947 544 5
951629 179 3
788204 896 6
436540 1129 5
496928 1342 2
989994 1094 6
126984 868 4
760173 1070 2
336141 1121 6
782519 1323 6
332230 723 3
468094 688 2
367211 1420 2
126426 1002 5
742034 1010 2
917131 978 3
948851 1434 6
959531 1280 1
229431 329 3
447864 1286 3
701431 1046 5
13420 776 2
547485 1030 2
971264 692 3
131441 548 4
499057 1417 3
159869 742 3
812719 522 5
541216 8 5
636207 488 6
634542 1154 2
599209 386 4
893493 1418 6
383283 1095 5
314861 1384 1
762542 1090 5
947330 437 4
308001 695 4
553898 584 6
229301 1375 4
410172 1419 2
286353 649 4
566235 53 6
649518 712 1
75762 819 5
370697 1414 4
911649 939 1
567597 355 3
587732 992 2
629301 1284 3
405221 786 2
192769 1334 5
35091 1342 1
324894 410 2
288373 753 1
786802 394 3
282853 952 3
483095 1103 1
518441 1127 2
93759 686 4
341992 1312 4
381375 120 3
710488 1267 2
741041 1244 4
634590 985 3
836356 792 5
10229 1074 6
91512 1283 4
834726 1015 1
247182 1114 1
747843 1201 4
961778 415 5
365819 587 3
390824 748 6
548362 222 6
534303 369 2
183129 1418 3
35834 694 2
818354 1147 2
959770 608 6
342707 645 3
568837 175 3
710488 309 2
329370 909 3
782519 639 6
335129 981 3
484595 902 5
20964 489 1
572971 1342 4
785659 418 4
815887 889 1
611717 347 6
762901 1204 4
232631 1112 1
197116 1090 2
776385 476 4
291856 1016 1
658248 1437 1
226220 124 1
897151 996 5
67400 959 2
86446 980 3
414063 504 5
992987 701 3
468709 1323 2
804616 1302 4
557933 1394 3
761046 1413 6
602987 566 6
781008 1214 3
159744 968 4
559984 1102 3
306951 935 5
905148 833 1
312273 1104 4
184447 283 6
961316 689 1
706773 1059 2
886251 281 3
903543 733 5
912591 1018 4
667816 146 6
721819 598 5
135283 1345 3
964967 760 3
367495 794 4
478546 151 3
353565 502 1
784310 1414 5
908359 1103 6
441957 1193 5
165889 1143 5
909543 743 3
302245 1416 1
698198 1121 5
915686 1229 3
182285 1309 6
773987 764 2
487971 78 5
506609 1384 3
282456 1417 3
294956 1344 6
219055 1320 3
114674 590 2
402968 1018 3
933956 1397 5
473218 1408 4
532323 1310 2
199210 906 5
247602 1193 5
209733 421 5
283775 1224 5
131441 1425 4
554617 485 3
892332 575 4
291880 883 6
880262 1219 6
468906 780 4
702402 1315 2
394032 1315 6
849131 1437 5
544539 1004 2
203933 998 6
430145 1335 1
916341 298 2
574137 1063 2
842901 696 4
149091 750 1
274440 921 2
995494 460 5
714818 72 5
541653 1182 2
411134 897 1
309725 848 4
275109 857 5
126501 1047 6
12875 630 5
981004 1220 1
767763 1422 6
338144 778 6
351217 814 6
222007 571 1
366973 1084 6
969849 544 3
881827 866 4
946452 410 5
78090 962 5
706341 952 6
146377 514 3
589942 1204 2
506952 768 3
608143 1258 6
230803 1324 5
829632 1161 6
330243 698 2
692009 893 5
751434 1287 1
739954 907 6
376828 1384 4
34691 407 2
211948 1191 3
212195 1298 4
295209 1128 1
265771 404 5
741523 661 4
876245 511 5
514975 398 5
562216 38 3
400340 1288 6
31867 433 6
588202 236 4
810734 422 2
139446 552 1
721536 1207 5
139306 912 6
780880 226 6
416330 439 4
325018 1239 5
356954 1108 5
394188 1221 5
76271 1328 1
206032 166 1
227757 1239 3
11731 1322 5
691010 645 4
675022 1288 6
899661 1329 2
573318 537 3
642493 382 5
968741 1389 5
121744 1366 3
553861 195 5
411142 541 4
364800 1361 6
309377 1143 6
103784 31 2
500418 633 1
994357 883 1
377923 1430 4
638200 1389 4
145090 552 4
325356 959 1
350811 313 6
72975 203 6
51710 1098 4
459799 1067 2
676141 1257 6
745086 900 3
717469 197 4
304536 1300 4
268615 1421 3
292609 191 6
178739 1036 6
894786 982 2
796214 441 5
528615 958 3
147034 1281 4
511138 801 5
305458 242 6
346603 1311 5
797851 500 2
796268 698 4
730123 17 2
165912 1403 5
220791 1275 3
854959 610 5
29175 1012 4
518429 1320 4
885358 608 5
547360 56 5
586151 1256 4
513680 1348 2
232610 1099 4
695419 1365 5
893622 1387 5
340957 965 6
517002 1349 6
457943 1240 3
68432 545 6
761993 1097 6
473614 1376 5
634590 879 3
143157 99 6
7175 153 3
426946 1429 6
123673 172 3
51598 1383 6
983395 1349 3
413713 941 3
231935 181 4
496977 1165 3
195027 1205 4
261604 1298 3
287827 973 4
468144 1402 3
345769 1423 1
41919 1329 2
62122 1000 6
724650 1117 6
660510 893 1
634542 484 2
98437 730 4
105274 742 3
30023 858 3
731464 307 1
75899 1252 4
834047 65 4
941702 1365 6
394454 1248 6
263248 27 4
26429 1358 3
641330 165 2
189026 937 4
917471 1136 1
153565 874 5
470325 146 5
332367 1120 2
340173 779 2
470325 510 5
465667 1094 5
774056 916 5
655886 177 6
209733 264 5
744520 734 3
282438 508 3
913046 1430 1
802843 1317 5
971548 810 3
141699 1232 4
952798 780 4
20964 70 1
506609 380 3
835926 1430 6
961701 4 3
123149 1080 4
81547 1294 4
190154 885 1
649381 678 4
675937 474 5
274759 1061 1
968511 1337 5
236644 128 1
676547 1016 4
801845 1220 4
455813 22 6
74836 158 2
347575 1170 4
26152 620 4
155738 1039 2
761046 1102 6
692060 1048 2
806995 1265 4
728101 1212 2
286353 1190 4
564942 343 1
20292 298 1
716714 45 4
838409 870 3
652049 939 6
502379 1286 4
263800 724 6
171661 1302 6
212195 1329 4
185045 1279 3
242555 312 1
64641 1299 5
267070 1191 1
736750 1075 3
141327 795 3
133176 4 3
662445 988 1
480706 167 1
522272 67 3
738362 1423 1
700089 387 1
831458 425 1
528615 1133 3
456126 571 4
802032 526 4
741246 1340 6
969545 999 6
959044 1184 1
669483 1049 1
206032 581 1
420052 1181 5
592575 1132 2
178739 160 6
773714 1055 2
517002 421 6
323143 550 1
414447 1064 6
36435 1043 3
621473 750 1
92090 583 6
678377 1186 3
638925 1104 6
370697 1376 4
852687 1145 5
962783 333 3
165912 698 5
723118 429 3
611834 900 6
663006 934 5
773864 750 5
933975 1132 1
559698 684 1
739929 730 6
902329 663 6
247835 1411 5
21935 324 2
351642 582 5
880411 907 2
495645 111 6
332411 737 4
330556 1416 1
500891 1170 2
503502 449 3
371980 1401 5
904901 1162 2
214597 1218 2
601188 653 2
885370 969 3
741091 563 3
522582 1402 3
36659 839 3
600804 1021 3
465136 1132 5
994145 1249 4
229095 1427 6
762798 925 5
440516 733 6
99791 1024 1
527716 250 2
198252 1440 1
986530 1295 3
265117 1174 5
714818 151 5
205748 626 4
948932 1296 2
399897 1262 5
932463 1232 2
41497 545 2
247509 1291 4
923969 1117 2
103303 1202 1
922979 1177 5
316811 773 6
204405 589 3
662154 1044 1
830419 1243 1
237679 748 1
32219 1172 1
838489 197 5
480706 484 1
621070 744 1
803818 1230 3
249198 1007 2
660388 141 3
515208 516 4
498564 100 2
327321 608 4
280597 14 2
601356 825 1
587516 855 1
765122 506 3
194081 887 1
28389 1326 3
94429 1429 6
878631 943 3
115050 1109 6
641595 1356 4
699448 504 1
875380 1097 3
999824 319 1
436567 395 6
13235 1107 3
383754 1382 3
835716 1127 5
754051 1285 1
797485 550 2
659503 1344 2
937539 785 3
384416 1365 2
724027 608 2
717372 1440 1
116084 206 2
410795 1226 6
675933 541 5
428626 1021 5
541170 1328 6
26150 986 4
731473 377 5
167867 807 5
389415 1194 2
249198 876 2
887346 1252 5
810031 1143 3
918609 680 1
460479 581 5
37414 38 2
42776 730 5
435783 1101 1
887859 712 5
39380 1348 1
541748 240 3
482275 160 3
181018 994 2
713508 759 4
82721 1276 3
322961 173 4
78432 259 6
353626 1169 1
935945 370 4
513234 542 6
588202 395 4
256784 1253 1
690985 591 6
115050 361 6
253652 756 3
21156 1381 5
937539 546 3
541850 871 1
737982 1172 1
276430 339 2
691503 547 6
144829 1123 6
112464 966 6
169399 77 5
566235 199 6
804199 108 6
285542 1436 3
384416 586 2
804829 783 1
185500 1322 3
447419 1345 5
54961 1177 4
4061 215 5
256488 1270 5
417946 467 5
256736 1395 5
872838 43 4
612178 852 3
923473 1197 6
816201 804 5
866845 610 6
784742 755 4
813192 322 2
777335 49 6
984478 917 5
45231 698 5
989994 1307 6
909715 1066 6
310974 636 4
824902 805 5
646728 1160 3
383076 1130 2
642502 1055 6
454935 1336 3
193712 500 2
287535 1127 1
923428 75 2
144841 452 2
662475 860 4
124453 740 4
235081 988 3
349935 239 3
859564 1130 6
399880 306 3
492800 301 5
657160 777 5
760203 634 1
749561 853 1
985623 1199 6
780127 703 2
77331 1314 2
566660 1051 4
501026 918 5
69798 917 6
462526 1187 5
608614 1332 4
920942 687 6
471717 65 6
227913 1079 3
287535 1398 1
477475 732 5
767850 1278 3
552420 1126 3
463731 1127 2
391432 1168 1
915686 911 3
464256 257 6
462244 222 1
984105 429 6
927865 489 1
204405 1035 3
91512 779 4
491723 1176 4
130692 1258 6
424903 1247 5
65007 1187 4
438038 769 4
463617 95 6
432450 681 1
863328 547 3
669670 565 6
552712 885 6
241907 1360 2
939842 1162 5
665834 506 5
216282 317 5
354478 1369 1
608614 652 4
846948 1270 5
876245 632 5
742520 263 4
603466 1095 3
203675 1206 6
784187 524 1
53858 108 4
465230 427 3
58950 381 4
593614 656 4
330329 1062 4
394919 998 5
149753 1429 3
957134 107 5
552642 1242 5
161404 1154 1
765842 229 5
258429 953 6
802375 583 1
311812 904 5
9160 632 4
643243 1075 5
411201 443 4
885892 358 6
802330 1350 3
401671 854 3
460175 630 2
594283 876 2
433391 930 5
874029 193 5
707684 546 2
544899 582 3
749561 39 1
272981 1352 3
263723 1289 2
518956 1261 1
997151 363 2
584512 569 2
184068 1176 2
186218 48 2
399501 1353 1
33131 1405 2
982189 874 6
760203 67 1
888778 1117 5
483349 1403 6
207234 16 2
215022 1119 5
6535 1183 2
837082 18 3
969545 712 6
139168 146 6
342707 572 3
497588 74 2
175595 1105 5
721536 886 5
810577 867 5
60687 1317 3
523445 605 6
645235 852 2
968090 1199 4
662445 915 1
649302 1366 4
773714 460 2
70184 222 3
816309 1307 1
172338 217 1
46664 700 1
791046 1255 2
655600 799 3
151679 1293 5
215790 497 2
396057 320 5
786802 51 3
232611 367 4
475434 1258 5
951044 287 2
395046 1266 3
188351 36 6
13496 388 1
162499 1092 4
568770 1214 3
266930 623 4
505293 1312 1
608516 1139 2
723243 449 2
366341 133 6
124217 1434 2
785212 1042 1
65188 288 6
793203 604 3
76667 758 1
585488 352 6
2810 568 3
745086 531 3
788206 956 3
326499 606 6
833679 600 6
126501 1216 6
753837 486 6
982347 622 4
682707 146 4
328885 1404 5
322611 781 6
68414 564 2
911771 1379 2
587642 889 3
659341 812 1
683104 166 5
859985 707 3
842901 758 4
199342 811 1
910965 1423 2
540930 637 5
366654 369 1
139168 863 6
11062 1385 2
816770 49 4
448622 1094 3
863842 1057 5
203675 977 6
